Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
8717d195-df0d-d6a7-112f-b7a313edb9d1,1988-05-29,,999-44-9889,S99927634,X63052060X,Mr.,Moshe758,Marcus77,Beahan375,,,M,white,nonhispanic,M,Boston  Massachusetts  US,647 Windler Throughway Apt 91,Billerica,Massachusetts,Middlesex County,,0,42.56705311422763,-71.28473172788112,8167.8,110495.32,14403
46ddaa61-92e6-fafd-d299-1de540000e87,1953-08-03,,999-36-6971,S99933038,X78541345X,Ms.,Sabine292,Corie618,Schmidt332,,,S,black,nonhispanic,F,Marlborough  Massachusetts  US,1017 Kovacek Extension Apt 39,Newbury,Massachusetts,Essex County,,0,42.74698815068949,-70.85840243977145,682934.9,446524.74,50806
c463a0df-1fc9-1b3d-e758-59fb18164979,1967-01-04,,999-11-6165,S99946644,X29311505X,Ms.,Nannie905,,Labadie908,,,S,white,nonhispanic,F,Lyon  Auvergne-Rhone-Alpes  FR,1076 Shanahan Frontage road,Boston,Massachusetts,Suffolk County,25025,2111,42.332155626097546,-71.16862992578186,18337.65,772370.17,4581
3565a695-617e-8c44-8e0f-bb22f3675c22,1981-07-19,,999-60-6195,S99922705,X88752331X,Mr.,Andres25,Darrell400,Davis923,,,S,white,nonhispanic,M,Leominster  Massachusetts  US,639 Wunsch Bypass Apt 23,Everett,Massachusetts,Middlesex County,25017,2149,42.4182673943854,-71.00473612458813,91035.21,32154.74,77294
52c1c18f-cd10-70fe-d05e-72eccd3fafbb,1973-09-17,,999-37-4437,S99997637,X29747847X,Ms.,Veda284,Else33,Zulauf375,,,S,hawaiian,nonhispanic,F,New Bedford  Massachusetts  US,867 Zboncak Glen Unit 93,Springfield,Massachusetts,Hampden County,25013,1199,42.138154737590774,-72.44917452363761,276532.04,1141390.84,32397
2c1db13c-2381-8f7a-7050-a31486c1f63e,1987-10-04,,999-49-7364,S99942302,X4589874X,Mrs.,Dotty422,Laverne101,Gleason633,,Dibbert990,W,black,nonhispanic,F,Oxford  Massachusetts  US,448 Auer Stravenue Unit 90,Plainville,Massachusetts,Norfolk County,,0,42.02564243478276,-71.34306890800264,721893.77,116268.59,104112
e6c694e0-bab4-850b-0998-be7b877b9de0,1947-11-14,2024-02-23,999-89-5846,S99939766,X42440086X,Mr.,Douglas31,Myron933,Gorczany269,,,M,white,nonhispanic,M,Natick  Massachusetts  US,733 Stroman Avenue,Pittsfield,Massachusetts,Berkshire County,25003,1201,42.43062135580495,-73.3149439914979,64250.51,1180133.64,16208
c617d10c-49a0-ace6-7412-d3d66b463276,1976-11-01,,999-43-1343,S99989403,X12799311X,Mrs.,Jewell855,Carline928,Stehr398,,Brakus656,M,white,nonhispanic,F,Norwood  Massachusetts  US,964 Hyatt Union,Waltham,Massachusetts,Middlesex County,25017,2453,42.423057093012936,-71.17589333134575,104417.43,1271790.65,23675
aad212bf-c5e8-dd90-b65a-3c96b99a9dc7,1963-12-22,,999-29-1023,S99919988,X18501049X,Mrs.,Yajaira121,Ladawn167,Kulas532,,Schmidt332,M,white,nonhispanic,F,Toulouse  Occitanie  FR,812 McCullough Run Apt 39,Boston,Massachusetts,Suffolk County,25025,2215,42.33885965282957,-71.10602819603358,742597.79,660579.58,44947
61adec15-72e6-8c0b-c4b1-4602457e84a4,1989-03-11,,999-87-5893,S99971353,X63288526X,Mrs.,Jene106,Heidi513,Conroy74,,Kohler843,M,white,nonhispanic,F,Wayland  Massachusetts  US,482 Wehner Annex Suite 85,Oxford,Massachusetts,Worcester County,25027,1540,42.06798918426329,-71.8372302911402,280761.58,658387.0,134726
8a2855fc-45fe-d48a-fd29-2c629276ac42,1944-01-27,,999-63-5875,S99938312,X39717593X,Mr.,Earle679,Melvin857,Swift555,,,M,black,hispanic,M,Norwell  Massachusetts  US,362 White Boulevard,Attleboro,Massachusetts,Bristol County,25005,2703,41.84472562850063,-71.36704980599038,41624.84,1103024.14,11943
db1f2eb0-5fe7-5414-ba13-efd59abc409a,1998-06-05,,999-68-9704,S99913614,X78337921X,Mr.,Joshua658,Kurt412,Monahan736,,,,black,nonhispanic,M,Westford  Massachusetts  US,367 Pollich Rue Apt 95,Agawam,Massachusetts,Hampden County,25013,1001,42.06290385303985,-72.6715821775903,40031.57,15306.86,93701
3244518f-917e-2f27-bda3-fb8e382c40b7,1973-08-07,,999-98-5281,S99943763,X1135910X,Mrs.,Gregory545,,Muller251,,Schumm995,M,white,nonhispanic,F,Boston  Massachusetts  US,167 Bernier Promenade,Beverly,Massachusetts,Essex County,25009,1915,42.592865640890466,-70.84958249257552,18220.66,955299.37,5765
9fd7df29-e67e-d0d5-f8b8-d01026516294,1995-03-23,,999-18-5390,S99970012,X62135876X,Mrs.,Mabelle762,,Kuhic920,,Olson653,M,white,nonhispanic,F,Natick  Massachusetts  US,591 Buckridge Course Suite 48,Newton,Massachusetts,Middlesex County,25017,2467,42.296600306186726,-71.12431484416375,102706.96,437906.51,230658
5811ff0f-207d-f81b-f6ae-b7801910a639,1981-02-05,,999-90-1524,S99947393,X6649514X,Ms.,Marjory382,Mickie472,Jerde200,,,S,white,nonhispanic,F,Boston  Massachusetts  US,350 Hand Flat,Pittsfield,Massachusetts,Berkshire County,25003,1201,42.479141924655316,-73.28697871386642,196045.49,678009.0,59356
d413c4b0-73c3-437c-43a3-eaa6a63039d7,1971-03-04,,999-57-3499,S99910130,X80299358X,Mrs.,Rhoda854,Deneen201,Yost751,,Kunde533,W,white,nonhispanic,F,Methuen  Massachusetts  US,545 Stiedemann Grove,Medfield,Massachusetts,Norfolk County,25021,2052,42.14002160681037,-71.3162015926933,347860.39,578602.33,846342
633e4e61-511b-b195-b6b6-b25bf7818df4,1946-06-03,,999-57-5513,S99910766,X45507563X,Ms.,India495,Dallas143,Borer986,,,S,white,nonhispanic,F,Boston  Massachusetts  US,769 O'Kon Parade,Taunton,Massachusetts,Bristol County,25005,2718,41.8622305425058,-71.04448785372264,299897.85,159499.98,105983
c7bd12e3-982e-addb-6680-fed470595267,1987-04-14,,999-74-6212,S99931057,X59092744X,Mrs.,Joann92,Gricelda41,Doyle959,,Cummings51,D,white,nonhispanic,F,Millbury  Massachusetts  US,559 Cummings Landing Apt 41,Southborough,Massachusetts,Worcester County,,0,42.282366987572864,-71.51352394705387,145115.64,952299.06,782777
1591df31-3738-deed-d2a1-781c0cb51569,1961-11-18,,999-53-6180,S99940684,X11802383X,Mr.,Sal878,Dane516,Kutch271,,,S,white,nonhispanic,M,Plymouth  Massachusetts  US,829 Walker Harbor Suite 82,Rockland,Massachusetts,Plymouth County,,0,42.110298656010556,-70.92128842836605,155338.75,13706.77,28646
22e051fa-c568-caf9-8897-88af59d952c7,1975-02-24,,999-75-2655,S99920631,X10214745X,Mrs.,Kenyatta61,Dorotha379,Von197,,West559,M,white,nonhispanic,F,Somerville  Massachusetts  US,271 Little Bypass Apt 43,Boston,Massachusetts,Suffolk County,25025,2131,42.28097405473024,-71.13118680502295,376343.87,0.0,94089
505b8aa7-7d6f-dca8-062f-5f91096768d9,1938-11-27,2020-12-20,999-36-3457,S99942384,X3098443X,Mrs.,Noelia656,Rosio404,Pouros728,,Hamill307,M,asian,nonhispanic,F,Fall River  Massachusetts  US,1062 Huels Brook,Cambridge,Massachusetts,Middlesex County,25017,2472,42.407905970868754,-71.18438748699928,303364.15,1100766.69,954577
467b2989-c497-534f-1805-ec8d2b8c2e2c,1978-04-02,,999-34-1034,S99921341,X37946436X,Ms.,Glady857,Lakiesha286,Jacobson885,,,S,white,nonhispanic,F,New Bedford  Massachusetts  US,841 Schroeder Run,Framingham,Massachusetts,Middlesex County,25017,1702,42.325788015653615,-71.42441086159191,436890.55,857523.11,47430
3bbb0599-6e64-1e1a-d04c-191fd3110003,1973-11-24,,999-76-9165,S99934327,X27563015X,Mr.,Norberto865,,Kuphal363,,,M,white,nonhispanic,M,Boston  Massachusetts  US,174 Casper Run,Amherst,Massachusetts,Hampshire County,,0,42.34132690898446,-72.54603289692467,12387.19,728920.07,3583
5102f88c-1f30-d11c-b3aa-1629bad96acd,1941-11-30,1996-11-27,999-87-1263,S99968694,X12359130X,Mrs.,Emelina469,Sanora914,Heathcote539,,Zulauf375,M,white,nonhispanic,F,Boston  Massachusetts  US,755 Volkman Tunnel Unit 28,Quincy,Massachusetts,Norfolk County,25021,2170,42.28574817166897,-71.10368878015834,16236.27,985953.12,16997
2d6f4b0d-723d-fb95-2db5-05cf454f5483,1952-06-19,2000-11-26,999-62-7195,S99993241,X76176638X,Mrs.,Jacelyn576,Nelda514,Schneider199,,Purdy2,W,black,nonhispanic,F,Georgetown  Massachusetts  US,824 Lemke Viaduct,Boston,Massachusetts,Suffolk County,25025,2109,42.293051329659704,-71.10897630845113,886498.54,479674.03,40221
a533cecb-54a9-32ba-0d5a-7c48728a5537,1993-03-09,,999-19-7975,S99948181,X37367125X,Ms.,Lien262,Sanjuana985,Bartoletti50,,,S,white,nonhispanic,F,Medway  Massachusetts  US,613 Gibson Course,New Bedford,Massachusetts,Bristol County,25005,2745,41.69141328901578,-70.89744262954491,120783.19,320129.48,27122
